ano,id_municipio_nascimento,total_observations,non_null_semana_gestacao,non_null_pre_natal_agr,gestacao_under_38,pre_natal_above_0
2011,2403400,17,11,17,1,17
2011,5106372,92,88,92,23,85
2011,3163706,998,604,998,155,995
2011,1101435,37,0,37,0,37
2017,4104600,74,74,74,8,74
2017,4107603,186,186,186,16,186
2017,4127106,1839,1836,1839,218,1835
2017,4105805,2600,2592,2600,197,2580
2017,4107157,17,17,17,3,16
2017,4111258,101,98,101,14,98
2017,4122305,190,189,190,30,188
2017,5003702,5470,5470,5470,1609,5420
2017,5005681,349,349,349,75,342
2017,4120358,223,223,223,29,220
2017,4122651,104,104,104,6,104
2017,4125100,24,24,24,6,24
2017,4100459,22,22,22,4,22
2017,4106605,193,190,193,27,193
2017,4306908,256,255,256,35,254
2017,5105606,337,337,337,65,333
2012,1400233,16,16,16,7,14
2012,2407807,99,84,99,16,97
2012,2406106,237,235,237,38,236
2012,5102686,83,83,83,12,83
2021,2914703,1712,1701,1712,292,1697
2021,2932903,1879,1686,1879,159,1797
2021,2903805,86,84,86,10,85
2021,2922508,121,106,121,14,118
2021,2901007,195,190,195,25,192
2021,2916807,94,80,94,18,90
2021,2913408,79,79,79,11,78
2021,2903003,72,70,72,15,70
2021,2906204,171,165,171,12,170
2018,1300144,256,250,256,53,254
2017,1303601,367,360,367,55,337
2017,1200302,798,704,798,118,445
2017,2702405,633,612,633,86,623
2017,2705507,208,192,208,39,201
2021,5207105,15,15,15,3,15
2021,5220108,489,489,489,60,489
2021,5216304,72,72,72,20,72
2021,5217708,246,246,246,25,246
2021,3200102,350,350,350,66,349
2021,5221007,185,185,185,27,185
2021,5201306,134,134,134,13,134
2021,5220157,73,73,73,5,73
2018,2300200,2268,2256,2268,274,2255
2018,3143302,9190,9038,9190,1881,8843
2009,1200351,384,0,384,0,328
2009,2708956,44,0,44,0,42
2009,2702504,18,0,18,0,14
2009,1302207,132,0,132,0,72
2009,1600238,39,0,36,0,32
2009,1100122,1930,0,1915,0,1896
