"","id_municipio","ano","open"
"709",1303957,2008,1
"710",1303957,2012,1
"711",1303957,2016,0
"712",1303957,2020,1
"713",1304005,2008,1
"714",1304005,2012,1
"715",1304005,2016,0
"716",1304005,2020,0
"717",1304062,2008,0
"718",1304062,2012,0
"719",1304062,2016,1
"720",1304062,2020,0
"721",1304104,2008,1
"722",1304104,2012,1
"723",1304104,2016,1
"724",1304104,2020,0
"725",1304203,2008,0
"726",1304203,2012,1
"727",1304203,2016,1
"728",1304203,2020,0
"729",1304237,2008,1
"730",1304237,2012,1
"731",1304237,2016,1
"732",1304237,2020,0
"733",1304260,2008,1
"734",1304260,2012,0
"735",1304260,2016,1
"736",1304260,2020,0
"737",1304302,2008,0
"738",1304302,2012,1
"739",1304302,2016,0
"740",1304302,2020,0
"741",1304401,2008,0
"742",1304401,2012,1
"743",1304401,2016,1
"744",1304401,2020,0
"745",1600055,2008,0
"746",1600055,2012,1
"747",1600055,2016,1
"748",1600055,2020,0
"749",1600105,2008,1
"750",1600105,2012,0
"751",1600105,2016,0
"752",1600105,2020,0
"753",1600154,2008,0
"754",1600154,2012,1
"755",1600154,2016,0
"756",1600154,2020,0
"757",1600204,2008,0
"758",1600204,2012,0
"759",1600204,2016,1
"760",1600204,2020,1
"761",1600212,2008,0
"762",1600212,2012,0
"763",1600212,2016,0
"764",1600212,2020,0
"765",1600238,2008,1
"766",1600238,2012,0
"767",1600238,2016,1
"768",1600238,2020,0
"769",1600253,2008,0
"770",1600253,2012,1
"771",1600253,2016,0
"772",1600253,2020,1
"773",1600279,2008,0
"774",1600279,2012,0
"775",1600279,2016,1
"776",1600279,2020,0
"777",1600303,2008,1
"778",1600303,2012,1
"779",1600303,2016,1
"780",1600303,2020,NA
"781",1600402,2008,0
"782",1600402,2012,1
"783",1600402,2016,0
"784",1600402,2020,0
"785",1600501,2008,1
"786",1600501,2012,0
"787",1600501,2016,1
"788",1600501,2020,0
"789",1600535,2008,0
"790",1600535,2012,1
"791",1600535,2016,0
"792",1600535,2020,0
"793",1600550,2008,0
"794",1600550,2012,1
"795",1600550,2016,0
"796",1600550,2020,0
"797",1600600,2008,0
"798",1600600,2012,1
"799",1600600,2016,0
"800",1600600,2020,0
"801",1600709,2008,0
"802",1600709,2012,1
"803",1600709,2016,0
"804",1600709,2020,0
"805",1600808,2008,0
"806",1600808,2012,0
"807",1600808,2016,0
"808",1600808,2020,1
"809",2900108,2008,1
"810",2900108,2012,0
"811",2900108,2016,1
"812",2900108,2020,0
"813",2900207,2008,0
"814",2900207,2012,1
"815",2900207,2016,1
"816",2900207,2020,0
"817",2900306,2008,0
"818",2900306,2012,0
"819",2900306,2016,0
"820",2900306,2020,0
"821",2900355,2008,0
"822",2900355,2012,0
"823",2900355,2016,0
"824",2900355,2020,0
"825",2900405,2008,1
"826",2900405,2012,1
"827",2900405,2016,0
"828",2900405,2020,0
"829",2900504,2008,0
"830",2900504,2012,0
"831",2900504,2016,1
"832",2900504,2020,0
"833",2900603,2008,0
"834",2900603,2012,1
"835",2900603,2016,1
"836",2900603,2020,1
"837",2900702,2008,1
"838",2900702,2012,0
"839",2900702,2016,1
"840",2900702,2020,0
"841",2900801,2008,0
"842",2900801,2012,0
"843",2900801,2016,1
"844",2900801,2020,0
"845",2900900,2008,1
"846",2900900,2012,0
"847",2900900,2016,1
"848",2900900,2020,0
"849",2901007,2008,0
"850",2901007,2012,1
"851",2901007,2016,1
"852",2901007,2020,0
"853",2901106,2008,1
"854",2901106,2012,0
"855",2901106,2016,1
"856",2901106,2020,0
"857",2901155,2008,0
"858",2901155,2012,1
"859",2901155,2016,0
"860",2901155,2020,0
"861",2901205,2008,1
"862",2901205,2012,0
"863",2901205,2016,0
"864",2901205,2020,1
"865",2901304,2008,1
"866",2901304,2012,0
"867",2901304,2016,1
